lfdnr	bezeichnung	gesamt	frei	status	zeitstempel	tendenz
1	bahnhof.txt	114	70	0	08.03.2017 20:43	3
2	beethoven.txt	416	325	0	08.03.2017 20:43	3
3	friedensplatz.txt	810	558	0	08.03.2017 20:43	2
4	markt.txt	0	0	2	09.01.2017 00:00	3
5	muensterplatz.txt	312	214	0	08.03.2017 20:43	3
6	stadthaus.txt	320	126	0	08.03.2017 20:43	2
1	bahnhof.txt	114	70	0	08.03.2017 20:45	3
2	beethoven.txt	416	325	0	08.03.2017 20:45	3
3	friedensplatz.txt	810	560	0	08.03.2017 20:45	2
4	markt.txt	0	0	2	09.01.2017 00:00	3
5	muensterplatz.txt	312	216	0	08.03.2017 20:45	3
6	stadthaus.txt	320	123	0	08.03.2017 20:45	2
1	bahnhof.txt	114	105	0	08.03.2017 23:29	3
2	beethoven.txt	416	335	0	08.03.2017 23:29	3
3	friedensplatz.txt	810	748	0	08.03.2017 23:29	3
4	markt.txt	0	0	2	09.01.2017 00:00	3
5	muensterplatz.txt	312	303	0	08.03.2017 23:29	2
6	stadthaus.txt	320	233	0	08.03.2017 23:29	3
1	bahnhof.txt	114	105	0	08.03.2017 23:30	3
2	beethoven.txt	416	335	0	08.03.2017 23:30	3
3	friedensplatz.txt	810	749	0	08.03.2017 23:30	3
4	markt.txt	0	0	2	09.01.2017 00:00	3
5	muensterplatz.txt	312	303	0	08.03.2017 23:30	2
6	stadthaus.txt	320	233	0	08.03.2017 23:30	3
1	bahnhof.txt	114	105	0	08.03.2017 23:31	3
2	beethoven.txt	416	335	0	08.03.2017 23:31	3
3	friedensplatz.txt	810	749	0	08.03.2017 23:31	3
4	markt.txt	0	0	2	09.01.2017 00:00	3
5	muensterplatz.txt	312	303	0	08.03.2017 23:31	2
6	stadthaus.txt	320	234	0	08.03.2017 23:31	3
1	bahnhof.txt	114	105	0	08.03.2017 23:39	3
2	beethoven.txt	416	335	0	08.03.2017 23:39	3
3	friedensplatz.txt	810	749	0	08.03.2017 23:39	3
4	markt.txt	0	0	2	09.01.2017 00:00	3
5	muensterplatz.txt	312	304	0	08.03.2017 23:39	3
6	stadthaus.txt	320	236	0	08.03.2017 23:39	3
